date,source,reach,sessions,engine_clicks,engine_searches,bookings,revenue
2026-08-29,ota_referral,460,9,0,0,0,0
2026-08-30,meta_ads,800,30,1,0,0,0
2026-08-30,google_ads,600,25,1,1,0,0
2026-08-30,organic,300,20,0,0,0,0
2026-08-30,direct,100,16,1,1,0,0
2026-08-30,email,200,10,0,0,0,0
2026-08-30,ota_referral,400,8,0,0,0,0
2026-08-31,meta_ads,800,30,1,1,1,260
2026-08-31,google_ads,600,25,1,0,0,0
2026-08-31,organic,300,20,1,1,0,0
2026-08-31,direct,100,16,1,0,0,0
2026-08-31,email,200,10,1,1,0,0
2026-08-31,ota_referral,400,8,0,0,0,0
2026-09-01,meta_ads,800,30,0,0,0,0
2026-09-01,google_ads,600,25,1,1,1,260
2026-09-01,organic,300,20,1,1,0,0
2026-09-01,direct,100,16,1,1,1,260
2026-09-01,email,200,10,0,0,0,0
2026-09-01,ota_referral,400,8,1,0,0,0
2026-09-02,meta_ads,800,30,1,1,0,0
2026-09-02,google_ads,600,25,1,1,0,0
2026-09-02,organic,300,20,1,1,1,260
2026-09-02,direct,100,16,0,0,0,0
2026-09-02,email,200,10,1,1,0,0
2026-09-02,ota_referral,400,8,0,0,0,0
2026-09-03,meta_ads,800,30,1,1,0,0
2026-09-03,google_ads,600,25,1,1,0,0
2026-09-03,organic,300,20,0,0,0,0
2026-09-03,direct,100,16,1,1,0,0
2026-09-03,email,200,10,0,0,0,0
2026-09-03,ota_referral,400,8,0,0,0,0
2026-09-04,meta_ads,920,34,1,0,0,0
2026-09-04,google_ads,690,29,1,0,0,0
2026-09-04,organic,345,23,1,0,0,0
2026-09-04,direct,115,18,1,1,0,0
2026-09-04,email,230,11,1,1,1,260
2026-09-04,ota_referral,460,9,0,0,0,0
2026-09-05,meta_ads,920,35,1,1,1,260
2026-09-05,google_ads,690,29,1,1,1,260
2026-09-05,organic,345,23,1,1,0,0
2026-09-05,direct,115,19,1,1,1,260
2026-09-05,email,230,12,0,0,0,0
2026-09-05,ota_referral,460,10,1,1,0,0
2026-09-06,meta_ads,800,30,1,1,0,0
2026-09-06,google_ads,600,25,1,1,0,0
2026-09-06,organic,300,20,1,1,0,0
2026-09-06,direct,100,16,1,0,0,0
2026-09-06,email,200,10,1,0,0,0
2026-09-06,ota_referral,400,8,0,0,0,0
2026-09-07,meta_ads,800,30,1,1,0,0
2026-09-07,google_ads,600,25,1,1,0,0
2026-09-07,organic,300,20,0,0,0,0
2026-09-07,direct,100,16,0,0,0,0
2026-09-07,email,200,10,0,0,0,0
2026-09-07,ota_referral,400,8,0,0,0,0
2026-09-08,meta_ads,800,30,1,0,0,0
2026-09-08,google_ads,600,25,0,0,0,0
2026-09-08,organic,300,20,1,1,1,260
2026-09-08,direct,100,16,1,1,0,0
2026-09-08,email,200,10,1,1,0,0
2026-09-08,ota_referral,400,8,0,0,0,0
2026-09-09,meta_ads,800,30,1,1,1,260
2026-09-09,google_ads,600,25,1,0,0,0
2026-09-09,organic,300,20,1,1,0,0
2026-09-09,direct,100,16,1,1,1,260
2026-09-09,email,200,10,0,0,0,0
2026-09-09,ota_referral,400,8,0,0,0,0
2026-09-10,meta_ads,800,30,1,1,0,0
2026-09-10,google_ads,600,25,1,1,1,260
2026-09-10,organic,300,20,1,0,0,0
2026-09-10,direct,100,16,1,1,0,0
2026-09-10,email,200,10,1,1,0,0
2026-09-10,ota_referral,400,8,0,0,0,0
2026-09-11,meta_ads,920,34,1,1,0,0
2026-09-11,google_ads,690,29,1,1,0,0
2026-09-11,organic,345,23,1,1,0,0
2026-09-11,direct,115,18,0,0,0,0
2026-09-11,email,230,11,0,0,0,0
2026-09-11,ota_referral,460,9,1,1,0,0
2026-09-12,meta_ads,920,35,1,0,0,0
2026-09-12,google_ads,690,28,1,1,0,0
2026-09-12,organic,345,23,0,0,0,0
2026-09-12,direct,115,19,1,1,0,0
2026-09-12,email,230,12,1,1,1,260
2026-09-12,ota_referral,460,9,0,0,0,0
2026-09-13,meta_ads,800,30,1,1,1,260
2026-09-13,google_ads,600,25,1,0,0,0
2026-09-13,organic,300,20,1,1,1,260
2026-09-13,direct,100,16,1,0,0,0
2026-09-13,email,200,10,0,0,0,0
2026-09-13,ota_referral,400,8,0,0,0,0
2026-09-14,meta_ads,800,30,1,1,0,0
2026-09-14,google_ads,600,25,1,1,1,260
2026-09-14,organic,300,20,1,1,0,0
2026-09-14,direct,100,16,1,1,1,260
2026-09-14,email,200,10,1,0,0,0
2026-09-14,ota_referral,400,8,0,0,0,0
2026-09-15,meta_ads,800,30,1,1,0,0
2026-09-15,google_ads,600,25,1,1,0,0
2026-09-15,organic,300,20,1,0,0,0
2026-09-15,direct,100,16,0,0,0,0
2026-09-15,email,200,10,0,0,0,0
2026-09-15,ota_referral,400,8,0,0,0,0
